Designator,Mid X,Mid Y,Layer,Rotation
0.1u,126.703525,-90.575400,top,90.000000
330u,121.115525,-102.426400,top,180.000000
0.1u,126.449525,-106.196400,top,90.000000
330u,121.115525,-87.186400,top,180.000000
10u,120.777000,-64.516000,top,-90.000000
22u,111.125000,-62.846000,top,-90.000000
0.1u,109.359000,-62.846000,top,-90.000000
220u,109.347000,-55.753000,top,90.000000
0.1u,101.547000,-65.278000,top,0.000000
0.1u,117.221000,-64.516000,top,-90.000000
0.1u,101.573500,-63.627000,top,0.000000
D_Schottky,107.315000,-62.865000,top,-90.000000
LED,112.268000,-71.075250,top,-90.000000
LED,109.601000,-71.075250,top,-90.000000
LED,106.934000,-71.075250,top,-90.000000
LED,104.394000,-71.075250,top,-90.000000
LED,111.506000,-90.574500,top,90.000000
LED,111.760000,-105.918000,top,90.000000
XT30PW-M,130.005525,-93.289400,top,-90.000000
JST-XH,60.706000,-59.603000,top,-90.000000
JST-XH,126.532000,-123.190000,top,0.000000
JST-XH,95.798000,-123.190000,top,0.000000
JST-XH,85.598000,-123.190000,top,0.000000
JST-XH,75.311000,-123.190000,top,0.000000
JST-XH,60.706000,-72.303000,top,-90.000000
JST-XH,60.706000,-85.010000,top,-90.000000
JST-XH,60.723000,-110.423000,top,-90.000000
JST-XH,60.706000,-97.743000,top,-90.000000
XT30PW-M,129.997200,-75.082400,top,-90.000000
JST-XH,67.604000,-123.190000,top,0.000000
JST-XH,106.045000,-123.190000,top,0.000000
JST-XH,116.292000,-123.190000,top,0.000000
XT30PW-M,130.005525,-108.481400,top,-90.000000
NMOS,120.720525,-94.513400,top,0.000000
NMOS,120.824025,-109.703400,top,0.000000
PMOS,120.362000,-72.112000,top,180.000000
1k,109.728000,-90.574500,top,90.000000
1k,109.982000,-105.918000,top,90.000000
10k,125.656000,-72.112000,top,-90.000000
1k,109.601000,-74.758250,top,90.000000
1k,106.934000,-74.758250,top,90.000000
10k,112.268000,-74.758250,top,90.000000
1k,104.394000,-74.758250,top,90.000000
10k,103.886000,-57.023000,top,0.000000
51,115.316000,-90.146400,top,0.000000
51,115.570000,-105.156000,top,0.000000
SW_Push,102.362000,-53.721000,top,0.000000
SW_DPST_x2,131.064000,-58.318000,top,180.000000
Pico,83.808000,-76.723000,top,0.000000
MCP1401T-E_OT,111.099837,-94.488000,top,0.000000
MCP1401T-E_OT,111.479275,-109.831400,top,0.000000
AZ1117CH-3.3TR,116.840000,-56.769000,top,90.000000
