Designator,Mid X,Mid Y,Rotation,Layer
C10,121.285,-63.373,270.0,top
C11,101.5735,-63.627,0.0,top
C12,115.697,-62.484,180.0,top
C13,69.1388,-106.1212,270.0,top
C14,68.4784,-74.1172,90.0,top
C15,125.603,-63.6005,270.0,top
C2,119.888,-100.6348,180.0,top
C4,119.888,-81.9404,180.0,top
C5,119.126,-64.135,270.0,top
C6,110.363,-63.246,270.0,top
C7,112.395,-63.119,270.0,top
C8,109.347,-55.753,90.0,top
C9,101.547,-65.278,0.0,top
D1,108.077,-62.992,270.0,top
D2,111.6838,-73.8397,270.0,top
D3,109.0168,-73.8397,270.0,top
D4,106.3498,-73.8397,270.0,top
D5,103.8098,-73.8397,270.0,top
D6,111.125,-87.3507,90.0,top
D7,111.125,-105.918,90.0,top
D8,126.492,-87.503,270.0,top
D9,126.492,-105.918,270.0,top
J1,130.0048,-90.0656,270.0,top
J10,60.723,-110.423,270.0,top
J11,60.706,-97.743,270.0,top
J12,130.048,-71.8528,270.0,top
J13,67.604,-123.19,0.0,top
J14,106.045,-123.19,0.0,top
J15,116.292,-123.19,0.0,top
J16,130.005525,-108.4814,270.0,top
J2,60.706,-59.603,270.0,top
J3,126.532,-123.19,0.0,top
J4,105.0544,-61.2648,0.0,top
J5,95.798,-123.19,0.0,top
J6,85.598,-123.19,0.0,top
J7,75.311,-123.19,0.0,top
J8,60.706,-72.303,270.0,top
J9,60.706,-85.01,270.0,top
Q1,120.523,-91.2896,0.0,top
Q2,120.523,-109.728,0.0,top
Q3,119.4965,-72.0857,180.0,top
R1,109.347,-87.376,90.0,top
R10,112.903,-102.362,90.0,top
R11,112.903,-87.376,90.0,top
R12,112.903,-105.918,90.0,top
R13,112.903,-83.947,90.0,top
R2,109.347,-105.918,90.0,top
R3,77.9545,-65.278,0.0,bottom
R4,77.9545,-67.818,0.0,bottom
R5,125.349,-72.136,270.0,top
R6,109.0168,-77.5227,90.0,top
R7,106.3498,-77.5227,90.0,top
R8,111.6838,-77.5227,90.0,top
R9,103.8098,-77.5227,90.0,top
SW1,102.362,-53.721,0.0,top
SW2,129.5908,-57.15,180.0,top
SW3,107.755,-82.618,0.0,top
U1,83.808,-76.723,0.0,top
U2,110.998,-91.2642,0.0,top
U3,110.998,-109.8314,0.0,top
U4,116.84,-56.769,90.0,top
