Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C15, C16, C17, C18, C19, C20, C4, C5, C8, C9",0603,13,0.1u,
"C11, C21, C3",CP_Elec_10x10,3,220u,
"C12, C2",0603,2,1u,
C14,CP_Elec_6.3x5.4,1,220u,
"C6, C7",1206,2,22u,
D1,D_SOD-123F,1,ＧＳ１０１０ＦＬ,
D3,D_SOD-323_HandSoldering,1,D_Schottky,
"D4, D5, D6, D7, D8, D9",0603,6,LED,
"J1, J3, J4",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,3,XT30PW-M,
"J10, J13, J15, J2, J5, J9",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,6,JST-XH,
"J11, J12, J14, J17, J18, J7, J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,7,JST-XH,
"J16, J19, J20, J21, J22, J23",PinHeader_1x03_P2.54mm_Vertical,6,JST-XH,
"J24, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,JST-XH,
LS1,PKL,1,PKLCS1212E4001-R1,
Q1,TO-252-2,1,TJ60S04M3L,
Q10,SOT-23,1,NMOS,
"Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",TPH11006NL_SOP Advance_TOS-M,8,NMOS,
"R1, R14, R2, R3, R5, R7, R8",0603,7,10k,
"R10, R11, R12, R13, R9",0603,5,1k,
"R15, R16, R17, R18, R19, R20, R21, R6",0603,8,4.7k,
SW1,SW_E-Switch_EG1271_SPDT,1,SW_DPST_x2,
"SW2, SW3",SKRPACE010,2,SW_Push,
"U1, U2",DRV8701ERGET_NV,2,DRV8701ERGET,
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
U4,RPi_Pico_SMD_TH,1,Pico,
U5,SOT-223-3_TabPin2,1,AZ1117CH-3.3TR,
