Designator,Mid X,Mid Y,Rotation,Layer
C1,122.242,-119.448,180.0,top
C10,96.774,-113.919,270.0,top
C11,122.936,-163.068,90.0,top
C12,125.476,-147.574,180.0,top
C13,110.236,-111.379,270.0,top
C14,109.4486,-104.394,90.0,top
C15,108.458,-111.379,270.0,top
C16,69.4955,-164.719,0.0,top
C17,122.301,-147.574,180.0,top
C18,63.881,-117.602,180.0,top
C19,76.6815,-151.638,180.0,top
C2,125.417,-119.448,180.0,top
C20,103.632,-168.783,270.0,top
C21,146.05,-143.51,0.0,top
C3,122.877,-134.942,90.0,top
C4,135.128,-110.236,90.0,top
C5,119.3546,-110.9685,270.0,top
C6,117.4496,-111.6685,270.0,top
C7,113.665,-110.363,0.0,top
C8,96.774,-106.68,90.0,top
C9,67.31,-140.716,180.0,top
D1,121.5136,-111.506,270.0,top
D3,98.679,-106.68,90.0,top
D4,115.697,-120.396,270.0,top
D5,113.792,-120.396,270.0,top
D6,119.335,-127.703,0.0,top
D7,119.394,-155.829,0.0,top
D8,109.982,-120.396,270.0,top
D9,111.887,-120.396,270.0,top
J1,139.2492,-131.981,270.0,top
J10,94.274,-168.893,0.0,top
J11,54.61,-130.563,270.0,top
J12,54.61,-143.263,270.0,top
J13,84.154,-168.917,0.0,top
J14,62.23,-155.963,270.0,top
J15,74.034,-168.917,0.0,top
J16,79.375,-130.81,270.0,bottom
J17,54.61,-110.236,270.0,top
J18,54.61,-155.963,270.0,top
J19,79.375,-133.35,270.0,bottom
J2,108.077,-160.401,0.0,top
J20,79.375,-135.89,270.0,bottom
J21,79.375,-138.43,270.0,bottom
J22,79.375,-140.97,270.0,bottom
J23,79.375,-143.51,270.0,bottom
J24,66.3848,-168.91,0.0,top
J3,139.105,-114.26,270.0,top
J4,139.3082,-160.107,270.0,top
J5,108.077,-154.0256,0.0,top
J6,54.593,-122.916,270.0,top
J7,62.23,-143.263,270.0,top
J8,62.23,-130.563,270.0,top
J9,108.077,-166.7256,0.0,top
LS1,110.7635,-134.239,270.0,top
Q1,127.703,-110.431,180.0,top
Q10,106.807,-125.984,0.0,top
Q2,132.9182,-148.082,0.0,top
Q3,132.9182,-154.432,180.0,top
Q4,132.9182,-167.132,0.0,top
Q5,132.8592,-139.006,0.0,top
Q6,132.8592,-132.656,180.0,top
Q7,132.8592,-119.956,0.0,top
Q8,132.8592,-126.306,180.0,top
Q9,132.9182,-160.782,180.0,top
R1,120.337,-123.131,270.0,top
R10,122.75,-127.703,180.0,top
R11,122.809,-155.829,180.0,top
R12,109.982,-124.206,90.0,top
R13,111.887,-124.206,90.0,top
R14,70.104,-115.316,180.0,bottom
R15,59.69,-143.263,180.0,bottom
R16,57.15,-145.803,0.0,bottom
R17,57.1875,-143.263,0.0,bottom
R18,59.69,-158.503,180.0,bottom
R19,59.69,-155.963,180.0,bottom
R2,132.783,-110.431,270.0,top
R20,57.1875,-158.503,0.0,bottom
R21,57.1875,-155.963,0.0,bottom
R3,120.396,-151.257,270.0,top
R5,110.871,-126.873,180.0,top
R6,59.6525,-145.803,180.0,bottom
R7,70.104,-113.03,180.0,bottom
R8,115.697,-124.206,90.0,top
R9,113.792,-124.206,90.0,top
SW1,132.715,-104.14,180.0,top
SW2,61.976,-101.6,0.0,top
SW3,103.124,-103.886,270.0,top
U1,123.385,-123.158397,270.0,top
U2,123.444,-151.284397,270.0,top
U3,62.357,-122.555,0.0,top
U4,83.947,-124.333,0.0,top
U5,117.348,-104.14,90.0,top
