time, volt, M0Rad,M0VEL,M1VEL,M1VEL
5, 0.000, 1.890, 0.000, 6.276, -0.014
10, 0.038, 1.890, 0.000, 6.276, -0.013
15, 0.075, 1.890, 0.000, 6.276, -0.012
20, 0.113, 1.890, 0.000, 6.276, -0.011
25, 0.151, 1.890, 0.000, 6.276, -0.010
30, 0.188, 1.890, 0.000, 6.274, 0.019
35, 0.226, 1.890, 0.000, 6.276, -0.011
40, 0.264, 1.890, 0.000, 6.276, -0.010
45, 0.302, 1.890, 0.000, 6.276, -0.009
50, 0.339, 1.890, 0.000, 6.274, 0.020
55, 0.377, 1.890, 0.000, 6.276, -0.010
60, 0.415, 1.890, 0.000, 6.276, -0.009
65, 0.452, 1.890, 0.000, 6.276, -0.008
70, 0.490, 1.890, 0.000, 6.276, -0.007
75, 0.528, 1.890, 0.000, 6.276, -0.007
80, 0.565, 1.890, 0.000, 6.276, -0.006
85, 0.603, 1.890, 0.000, 6.276, -0.006
90, 0.641, 1.890, 0.000, 6.276, -0.005
95, 0.678, 1.890, 0.000, 6.276, -0.005
100, 0.716, 1.890, 0.000, 6.276, -0.004
105, 0.753, 1.890, 0.000, 6.274, 0.024
110, 0.791, 1.890, 0.000, 6.276, -0.006
115, 0.829, 1.890, 0.000, 6.276, -0.005
120, 0.866, 1.890, 0.000, 6.276, -0.005
125, 0.904, 1.890, 0.000, 6.276, -0.004
130, 0.942, 1.892, -0.028, 6.274, 0.024
135, 0.979, 1.892, -0.025, 6.276, -0.006
140, 1.017, 1.890, 0.005, 6.276, -0.006
145, 1.054, 1.890, 0.004, 6.276, -0.005
150, 1.092, 1.890, 0.004, 6.277, -0.033
155, 1.129, 1.890, 0.004, 6.279, -0.058
160, 1.167, 1.890, 0.003, 6.282, -0.108
165, 1.204, 1.892, -0.025, 0.002, -0.154
170, 1.242, 1.892, -0.023, 0.006, -0.224
175, 1.279, 1.892, -0.021, 0.011, -0.287
180, 1.317, 1.892, -0.019, 0.017, -0.373
185, 1.354, 1.893, -0.045, 0.021, -0.422
190, 1.392, 1.896, -0.097, 0.028, -0.496
195, 1.429, 1.900, -0.144, 0.032, -0.534
200, 1.467, 1.903, -0.186, 0.038, -0.598
205, 1.504, 1.907, -0.253, 0.046, -0.683
210, 1.541, 1.910, -0.286, 0.052, -0.732
215, 1.579, 1.915, -0.344, 0.060, -0.805
220, 1.616, 1.919, -0.396, 0.068, -0.872
225, 1.653, 1.924, -0.444, 0.077, -0.960
230, 1.691, 1.930, -0.515, 0.084, -1.012
235, 1.728, 1.936, -0.580, 0.094, -1.087
240, 1.765, 1.942, -0.639, 0.103, -1.156
245, 1.803, 1.950, -0.720, 0.112, -1.218
250, 1.840, 1.956, -0.767, 0.123, -1.303
255, 1.877, 1.964, -0.836, 0.132, -1.352
260, 1.914, 1.972, -0.900, 0.143, -1.424
265, 1.952, 1.981, -0.986, 0.153, -1.490
270, 1.989, 1.989, -1.036, 0.164, -1.550
275, 2.026, 1.998, -1.109, 0.175, -1.604
280, 2.063, 2.007, -1.176, 0.186, -1.654
285, 2.100, 2.016, -1.236, 0.198, -1.727
290, 2.137, 2.025, -1.291, 0.209, -1.765
295, 2.174, 2.036, -1.369, 0.221, -1.828
300, 2.212, 2.047, -1.440, 0.235, -1.913
305, 2.249, 2.058, -1.504, 0.249, -1.990
310, 2.286, 2.070, -1.591, 0.262, -2.060
315, 2.323, 2.081, -1.642, 0.276, -2.124
320, 2.360, 2.091, -1.688, 0.290, -2.182
325, 2.397, 2.104, -1.758, 0.304, -2.235
330, 2.433, 2.116, -1.821, 0.319, -2.311
335, 2.470, 2.128, -1.879, 0.334, -2.379
340, 2.507, 2.143, -1.987, 0.350, -2.443
345, 2.544, 2.156, -2.030, 0.364, -2.472
350, 2.581, 2.170, -2.097, 0.379, -2.526
355, 2.618, 2.183, -2.157, 0.396, -2.603
360, 2.654, 2.199, -2.240, 0.414, -2.701
365, 2.691, 2.214, -2.316, 0.431, -2.763
370, 2.728, 2.229, -2.384, 0.448, -2.819
375, 2.765, 2.245, -2.447, 0.465, -2.869
380, 2.801, 2.260, -2.504, 0.482, -2.915
385, 2.838, 2.279, -2.611, 0.500, -2.986
390, 2.875, 2.297, -2.709, 0.519, -3.049
