Time[ms], Volt[V],AVE
5,0,0.14875
10,0,0.132
15,0,0.12025
20,0,0.10125
25,0,0.07725
30,0.001,0.0665
35,0.001,0.066
40,0.001,0.06325
45,0.002,0.02475
50,0.002,0.04425
55,0.003,0.04475
60,0.004,0.01625
65,0.004,0.03725
70,0.005,0.03225
75,0.006,0.02125
80,0.007,0.01
85,0.008,0.003
90,0.009,0.00325
95,0.01,0.02575
100,0.011,0.007
105,0.012,0
110,0.013,0.00075
115,0.014,0.0235
120,0.016,0.02
125,0.017,0.017
130,0.018,-0.0005
135,0.02,0.00025
140,0.022,0.0095
145,0.023,-0.0075
150,0.025,0.0315
155,0.027,-0.01175
160,0.028,0.013
165,0.03,-0.0045
170,0.032,-0.00275
175,0.034,-0.0085
180,0.036,0.008
185,0.038,0.02175
190,0.04,0.00175
195,0.043,0
200,0.045,-0.00575
205,0.047,-0.01775
210,0.05,-0.00175
215,0.052,-0.001
220,0.055,0.00825
225,0.057,-0.016
230,0.06,0.0015
235,0.063,-0.0165
240,0.065,-0.00425
245,0.068,0.0105
250,0.071,0.0025
255,0.074,0.018
260,0.077,-0.0005
265,0.08,0.01525
270,0.083,-0.01675
275,0.086,0.015
280,0.089,0.00525
285,0.093,-0.0115
290,0.096,-0.0025
295,0.099,-0.01575
300,0.103,-0.0065
305,0.106,0.017
310,0.11,0.007
315,0.113,0.0055
320,0.117,0.004
325,0.121,0.0015
330,0.125,-0.02675
335,0.129,0.02425
340,0.132,-0.0115
345,0.136,-0.018
350,0.14,0.01675
355,0.144,0.014
360,0.149,-0.00375
365,0.153,-0.001
370,0.157,0.00475
375,0.161,0.02475
380,0.166,-0.02175
385,0.17,-0.01125
390,0.175,0.01275
395,0.179,0.00375
400,0.184,0.0025
405,0.189,-0.00525
410,0.193,0.0085
415,0.198,0.00775
420,0.203,-0.0155
425,0.208,0.018
430,0.213,-0.00825
435,0.218,-0.016
440,0.223,0.001
445,0.228,0.0035
450,0.233,-0.01275
455,0.238,-0.0105
460,0.244,-0.017
465,0.249,0.01075
470,0.254,0.0225
475,0.26,-0.01025
480,0.265,0
485,0.271,-0.0095
490,0.276,0.0075
495,0.282,-0.0095
500,0.288,0.0005
505,0.294,0.0065
510,0.3,0.02725
515,0.305,-0.008
520,0.311,-0.01275
525,0.317,0.01175
530,0.323,-0.0205
535,0.33,0.00775
540,0.336,-0.0165
545,0.342,-0.00725
550,0.348,0.0095
555,0.355,0.0075
560,0.361,0.0125
565,0.368,-0.01125
570,0.374,0.006
575,0.381,-0.01075
580,0.387,-0.00175
585,0.394,0.00075
590,0.401,-0.009
595,0.408,-0.00025
600,0.414,0.009
605,0.421,0.02225
610,0.428,-0.0045
615,0.435,0.00925
620,0.442,-0.00725
625,0.45,-0.0135
630,0.457,-0.01525
635,0.464,0.01625
640,0.471,0.01225
645,0.479,0.00625
650,0.486,-0.004
655,0.493,-0.00125
660,0.501,0.01175
665,0.509,0.01
670,0.516,0.001
675,0.524,0.0005
680,0.532,0.007
685,0.539,0.02175
690,0.547,-0.02025
695,0.555,-0.01675
700,0.563,-0.0065
705,0.571,-0.03425
710,0.579,0.001
715,0.587,-0.02925
720,0.595,-0.00775
725,0.604,0.00925
730,0.612,-0.006
735,0.62,0.00775
740,0.629,0.03025
745,0.637,0.00175
750,0.645,-0.00675
755,0.654,0.014
760,0.663,0.01175
765,0.671,0.01
770,0.68,-0.0055
775,0.689,0.0085
780,0.697,0.00775
785,0.706,0.0065
790,0.715,-0.00125
795,0.724,-0.0165
800,0.733,-0.03575
805,0.742,0.0065
810,0.751,0.001
815,0.76,-0.0015
820,0.77,0.00775
825,0.779,-0.0305
830,0.788,-0.042
835,0.798,-0.05675
840,0.807,-0.02625
845,0.816,-0.0465
850,0.826,-0.0885
855,0.836,-0.06175
860,0.845,-0.11625
865,0.855,-0.148
870,0.865,-0.187
875,0.874,-0.2245
880,0.884,-0.27675
885,0.894,-0.3475
890,0.904,-0.42475
895,0.914,-0.48
900,0.924,-0.5255
905,0.934,-0.5755
910,0.944,-0.6375
915,0.954,-0.7215
920,0.965,-0.768
925,0.975,-0.809
930,0.985,-0.8615
935,0.996,-0.9105
940,1.006,-0.984
945,1.016,-0.99325
950,1.027,-1.0475
955,1.038,-1.11775
960,1.048,-1.1755
965,1.059,-1.196
970,1.07,-1.23675
975,1.08,-1.27125
980,1.091,-1.339
985,1.102,-1.3295
990,1.113,-1.39575
995,1.124,-1.42125
1000,1.135,-1.45425
1005,1.146,-1.50975
1010,1.157,-1.50525
1015,1.168,-1.5625
1020,1.179,-1.56475
1025,1.191,-1.63
1030,1.202,-1.6315
1035,1.213,-1.67075
1040,1.225,-1.70425
1045,1.236,-1.7085
1050,1.248,-1.75325
1055,1.259,-1.7435
1060,1.271,-1.77375
1065,1.282,-1.811
1070,1.294,-1.78825
1075,1.306,-1.83675
1080,1.317,-1.85675
1085,1.329,-1.871
1090,1.341,-1.906
1095,1.353,-1.89825
1100,1.365,-1.9235
1105,1.377,-1.945
1110,1.389,-1.932
1115,1.401,-1.98375
1120,1.413,-2.024
1125,1.425,-2.014
1130,1.438,-2.01325
1135,1.45,-2.02225
1140,1.462,-2.0365
1145,1.474,-2.0785
1150,1.487,-2.078
1155,1.499,-2.07775
1160,1.512,-2.1215
1165,1.524,-2.1365
1170,1.537,-2.14875
1175,1.55,-2.18125
1180,1.562,-2.179
1185,1.575,-2.16875
1190,1.588,-2.22075
1195,1.6,-2.24925
1200,1.613,-2.24525
1205,1.626,-2.2755
1210,1.639,-2.34325
1215,1.652,-2.341
1220,1.665,-2.3585
1225,1.678,-2.42425
1230,1.691,-2.397
1235,1.704,-2.45275
1240,1.718,-2.50325
1245,1.731,-2.5305
1250,1.744,-2.556
1255,1.757,-2.59975
1260,1.771,-2.68
1265,1.784,-2.6955
1270,1.798,-2.706
1275,1.811,-2.76975
1280,1.825,-2.85325
1285,1.838,-2.87625
1290,1.852,-2.9185
1295,1.865,-3.008
1300,1.879,-3.03775
1305,1.893,-3.0925
1310,1.906,-3.17575
1315,1.92,-3.22275
1320,1.934,-3.28
1325,1.948,-3.343
1330,1.962,-3.423
1335,1.976,-3.486
1340,1.99,-3.56725
1345,2.004,-3.6275
1350,2.018,-3.68025
1355,2.032,-3.7745
1360,2.046,-3.841
1365,2.06,-3.95325
1370,2.075,-3.97325
1375,2.089,-4.08425
1380,2.103,-4.128
1385,2.118,-4.247
1390,2.132,-4.32425
1395,2.146,-4.4055
1400,2.161,-4.477
1405,2.175,-4.5575
1410,2.19,-4.634
1415,2.205,-4.6945
1420,2.219,-4.77325
1425,2.234,-4.8495
1430,2.249,-4.922
1435,2.263,-4.999
1440,2.278,-5.08525
1445,2.293,-5.13175
1450,2.308,-5.23825
1455,2.323,-5.29025
1460,2.337,-5.34825
1465,2.352,-5.4015
1470,2.367,-5.48375
1475,2.382,-5.52925
1480,2.397,-5.607
1485,2.413,-5.65075
1490,2.428,-5.711
1495,2.443,-5.7705
1500,2.458,-5.81275
1505,2.473,-5.8725
1510,2.489,-5.9045
1515,2.504,-5.9445
1520,2.519,-5.962
1525,2.535,-6.0185
1530,2.55,-6.0725
1535,2.565,-6.0875
1540,2.581,-6.127
1545,2.596,-6.144
1550,2.612,-6.1875
1555,2.627,-6.2115
1560,2.643,-6.24925
1565,2.659,-6.25875
1570,2.674,-6.284
1575,2.69,-6.3125
1580,2.706,-6.31525
