Time[ms], Volt[V],AVE角速度,角加速度,,MAX角加速度
5,0,0.14875,-3.35,,43
10,0,0.132,-2.35,,
15,0,0.12025,-3.8,,min角加速度
20,0,0.10125,-4.8,,-44.15
25,0,0.07725,-2.15,,
30,0.001,0.0665,-0.1,,
35,0.001,0.066,-0.55,,
40,0.001,0.06325,-7.7,,
45,0.002,0.02475,3.9,,
50,0.002,0.04425,0.1,,
55,0.003,0.04475,-5.7,,
60,0.004,0.01625,4.2,,
65,0.004,0.03725,-1,,
70,0.005,0.03225,-2.2,,
75,0.006,0.02125,-2.25,,
80,0.007,0.01,-1.4,,
85,0.008,0.003,0.05,,
90,0.009,0.00325,4.5,,
95,0.01,0.02575,-3.75,,
100,0.011,0.007,-1.4,,
105,0.012,0,0.15,,
110,0.013,0.00075,4.55,,
115,0.014,0.0235,-0.7,,
120,0.016,0.02,-0.6,,
125,0.017,0.017,-3.5,,
130,0.018,-0.0005,0.15,,
135,0.02,0.00025,1.85,,
140,0.022,0.0095,-3.4,,
145,0.023,-0.0075,7.8,,
150,0.025,0.0315,-8.65,,
155,0.027,-0.01175,4.95,,
160,0.028,0.013,-3.5,,
165,0.03,-0.0045,0.35,,
170,0.032,-0.00275,-1.15,,
175,0.034,-0.0085,3.3,,
180,0.036,0.008,2.75,,
185,0.038,0.02175,-4,,
190,0.04,0.00175,-0.35,,
195,0.043,0,-1.15,,
200,0.045,-0.00575,-2.4,,
205,0.047,-0.01775,3.2,,
210,0.05,-0.00175,0.15,,
215,0.052,-0.001,1.85,,
220,0.055,0.00825,-4.85,,
225,0.057,-0.016,3.5,,
230,0.06,0.0015,-3.6,,
235,0.063,-0.0165,2.45,,
240,0.065,-0.00425,2.95,,
245,0.068,0.0105,-1.6,,
250,0.071,0.0025,3.1,,
255,0.074,0.018,-3.7,,
260,0.077,-0.0005,3.15,,
265,0.08,0.01525,-6.4,,
270,0.083,-0.01675,6.35,,
275,0.086,0.015,-1.95,,
280,0.089,0.00525,-3.35,,
285,0.093,-0.0115,1.8,,
290,0.096,-0.0025,-2.65,,
295,0.099,-0.01575,1.85,,
300,0.103,-0.0065,4.7,,
305,0.106,0.017,-2,,
310,0.11,0.007,-0.3,,
315,0.113,0.0055,-0.3,,
320,0.117,0.004,-0.5,,
325,0.121,0.0015,-5.65,,
330,0.125,-0.02675,10.2,,
335,0.129,0.02425,-7.15,,
340,0.132,-0.0115,-1.3,,
345,0.136,-0.018,6.95,,
350,0.14,0.01675,-0.55,,
355,0.144,0.014,-3.55,,
360,0.149,-0.00375,0.55,,
365,0.153,-0.001,1.15,,
370,0.157,0.00475,4,,
375,0.161,0.02475,-9.3,,
380,0.166,-0.02175,2.1,,
385,0.17,-0.01125,4.8,,
390,0.175,0.01275,-1.8,,
395,0.179,0.00375,-0.25,,
400,0.184,0.0025,-1.55,,
405,0.189,-0.00525,2.75,,
410,0.193,0.0085,-0.15,,
415,0.198,0.00775,-4.65,,
420,0.203,-0.0155,6.7,,
425,0.208,0.018,-5.25,,
430,0.213,-0.00825,-1.55,,
435,0.218,-0.016,3.4,,
440,0.223,0.001,0.5,,
445,0.228,0.0035,-3.25,,
450,0.233,-0.01275,0.45,,
455,0.238,-0.0105,-1.3,,
460,0.244,-0.017,5.55,,
465,0.249,0.01075,2.35,,
470,0.254,0.0225,-6.55,,
475,0.26,-0.01025,2.05,,
480,0.265,0,-1.9,,
485,0.271,-0.0095,3.4,,
490,0.276,0.0075,-3.4,,
495,0.282,-0.0095,2,,
500,0.288,0.0005,1.2,,
505,0.294,0.0065,4.15,,
510,0.3,0.02725,-7.05,,
515,0.305,-0.008,-0.95,,
520,0.311,-0.01275,4.9,,
525,0.317,0.01175,-6.45,,
530,0.323,-0.0205,5.65,,
535,0.33,0.00775,-4.85,,
540,0.336,-0.0165,1.85,,
545,0.342,-0.00725,3.35,,
550,0.348,0.0095,-0.4,,
555,0.355,0.0075,1,,
560,0.361,0.0125,-4.75,,
565,0.368,-0.01125,3.45,,
570,0.374,0.006,-3.35,,
575,0.381,-0.01075,1.8,,
580,0.387,-0.00175,0.5,,
585,0.394,0.00075,-1.95,,
590,0.401,-0.009,1.75,,
595,0.408,-0.00025,1.85,,
600,0.414,0.009,2.65,,
605,0.421,0.02225,-5.35,,
610,0.428,-0.0045,2.75,,
615,0.435,0.00925,-3.3,,
620,0.442,-0.00725,-1.25,,
625,0.45,-0.0135,-0.35,,
630,0.457,-0.01525,6.3,,
635,0.464,0.01625,-0.8,,
640,0.471,0.01225,-1.2,,
645,0.479,0.00625,-2.05,,
650,0.486,-0.004,0.55,,
655,0.493,-0.00125,2.6,,
660,0.501,0.01175,-0.35,,
665,0.509,0.01,-1.8,,
670,0.516,0.001,-0.1,,
675,0.524,0.0005,1.3,,
680,0.532,0.007,2.95,,
685,0.539,0.02175,-8.4,,
690,0.547,-0.02025,0.7,,
695,0.555,-0.01675,2.05,,
700,0.563,-0.0065,-5.55,,
705,0.571,-0.03425,7.05,,
710,0.579,0.001,-6.05,,
715,0.587,-0.02925,4.3,,
720,0.595,-0.00775,3.4,,
725,0.604,0.00925,-3.05,,
730,0.612,-0.006,2.75,,
735,0.62,0.00775,4.5,,
740,0.629,0.03025,-5.7,,
745,0.637,0.00175,-1.7,,
750,0.645,-0.00675,4.15,,
755,0.654,0.014,-0.45,,
760,0.663,0.01175,-0.35,,
765,0.671,0.01,-3.1,,
770,0.68,-0.0055,2.8,,
775,0.689,0.0085,-0.15,,
780,0.697,0.00775,-0.25,,
785,0.706,0.0065,-1.55,,
790,0.715,-0.00125,-3.05,,
795,0.724,-0.0165,-3.85,,
800,0.733,-0.03575,8.45,,
805,0.742,0.0065,-1.1,,
810,0.751,0.001,-0.5,,
815,0.76,-0.0015,1.85,,
820,0.77,0.00775,-7.65,,
825,0.779,-0.0305,-2.3,,
830,0.788,-0.042,-2.95,,
835,0.798,-0.05675,6.1,,
840,0.807,-0.02625,-4.05,,
845,0.816,-0.0465,-8.4,,
850,0.826,-0.0885,5.35,,
855,0.836,-0.06175,-10.9,,
860,0.845,-0.11625,-6.35,,
865,0.855,-0.148,-7.8,,
870,0.865,-0.187,-7.5,,
875,0.874,-0.2245,-10.45,,
880,0.884,-0.27675,-14.15,,
885,0.894,-0.3475,-15.45,,
890,0.904,-0.42475,-11.05,,
895,0.914,-0.48,-9.1,,
900,0.924,-0.5255,-10,,
905,0.934,-0.5755,-12.4,,
910,0.944,-0.6375,-16.8,,
915,0.954,-0.7215,-9.3,,
920,0.965,-0.768,-8.2,,
925,0.975,-0.809,-10.5,,
930,0.985,-0.8615,-9.8,,
935,0.996,-0.9105,-14.7,,
940,1.006,-0.984,-1.85,,
945,1.016,-0.99325,-10.85,,
950,1.027,-1.0475,-14.05,,
955,1.038,-1.11775,-11.55,,
960,1.048,-1.1755,-4.1,,
965,1.059,-1.196,-8.15,,
970,1.07,-1.23675,-6.9,,
975,1.08,-1.27125,-13.55,,
980,1.091,-1.339,1.9,,
985,1.102,-1.3295,-13.25,,
990,1.113,-1.39575,-5.1,,
995,1.124,-1.42125,-6.6,,
1000,1.135,-1.45425,-11.1,,
1005,1.146,-1.50975,0.9,,
1010,1.157,-1.50525,-11.45,,
1015,1.168,-1.5625,-0.45,,
1020,1.179,-1.56475,-13.05,,
1025,1.191,-1.63,-0.3,,
1030,1.202,-1.6315,-7.85,,
1035,1.213,-1.67075,-6.7,,
1040,1.225,-1.70425,-0.85,,
1045,1.236,-1.7085,-8.95,,
1050,1.248,-1.75325,1.95,,
1055,1.259,-1.7435,-6.05,,
1060,1.271,-1.77375,-7.45,,
1065,1.282,-1.811,4.55,,
1070,1.294,-1.78825,-9.7,,
1075,1.306,-1.83675,-4,,
1080,1.317,-1.85675,-2.85,,
1085,1.329,-1.871,-7,,
1090,1.341,-1.906,1.55,,
1095,1.353,-1.89825,-5.05,,
1100,1.365,-1.9235,-4.3,,
1105,1.377,-1.945,2.6,,
1110,1.389,-1.932,-10.35,,
1115,1.401,-1.98375,-8.05,,
1120,1.413,-2.024,2,,
1125,1.425,-2.014,0.15,,
1130,1.438,-2.01325,-1.8,,
1135,1.45,-2.02225,-2.85,,
1140,1.462,-2.0365,-8.4,,
1145,1.474,-2.0785,0.1,,
1150,1.487,-2.078,0.05,,
1155,1.499,-2.07775,-8.75,,
1160,1.512,-2.1215,-3,,
1165,1.524,-2.1365,-2.45,,
1170,1.537,-2.14875,-6.5,,
1175,1.55,-2.18125,0.45,,
1180,1.562,-2.179,2.05,,
1185,1.575,-2.16875,-10.4,,
1190,1.588,-2.22075,-5.7,,
1195,1.6,-2.24925,0.8,,
1200,1.613,-2.24525,-6.05,,
1205,1.626,-2.2755,-13.55,,
1210,1.639,-2.34325,0.45,,
1215,1.652,-2.341,-3.5,,
1220,1.665,-2.3585,-13.15,,
1225,1.678,-2.42425,5.45,,
1230,1.691,-2.397,-11.15,,
1235,1.704,-2.45275,-10.1,,
1240,1.718,-2.50325,-5.45,,
1245,1.731,-2.5305,-5.1,,
1250,1.744,-2.556,-8.75,,
1255,1.757,-2.59975,-16.05,,
1260,1.771,-2.68,-3.1,,
1265,1.784,-2.6955,-2.1,,
1270,1.798,-2.706,-12.75,,
1275,1.811,-2.76975,-16.7,,
1280,1.825,-2.85325,-4.6,,
1285,1.838,-2.87625,-8.45,,
1290,1.852,-2.9185,-17.9,,
1295,1.865,-3.008,-5.95,,
1300,1.879,-3.03775,-10.95,,
1305,1.893,-3.0925,-16.65,,
1310,1.906,-3.17575,-9.4,,
1315,1.92,-3.22275,-11.45,,
1320,1.934,-3.28,-12.6,,
1325,1.948,-3.343,-16,,
1330,1.962,-3.423,-12.6,,
1335,1.976,-3.486,-16.25,,
1340,1.99,-3.56725,-12.05,,
1345,2.004,-3.6275,-10.55,,
1350,2.018,-3.68025,-18.85,,
1355,2.032,-3.7745,-13.3,,
1360,2.046,-3.841,-22.45,,
1365,2.06,-3.95325,-4,,
1370,2.075,-3.97325,-22.2,,
1375,2.089,-4.08425,-8.75,,
1380,2.103,-4.128,-23.8,,
1385,2.118,-4.247,-15.45,,
1390,2.132,-4.32425,-16.25,,
1395,2.146,-4.4055,-14.3,,
1400,2.161,-4.477,-16.1,,
1405,2.175,-4.5575,-15.3,,
1410,2.19,-4.634,-12.1,,
