Time[ms], Volt[V], Angle[degree], AngleVel[rad/s]
5, 0.000, 260.332, 0.337
10, 0.000, 260.244, 0.331
15, 0.000, 260.332, 0.203
20, 0.000, 260.332, 0.163
25, 0.000, 260.244, 0.192
30, 0.001, 260.332, 0.092
35, 0.001, 260.332, 0.074
40, 0.001, 260.332, 0.059
45, 0.002, 260.332, 0.047
50, 0.002, 260.332, 0.038
55, 0.003, 260.332, 0.030
60, 0.004, 260.332, 0.024
65, 0.004, 260.420, -0.042
70, 0.005, 260.420, -0.034
75, 0.006, 260.420, -0.027
80, 0.007, 260.332, 0.040
85, 0.008, 260.332, 0.032
90, 0.009, 260.420, -0.036
95, 0.010, 260.332, 0.033
100, 0.011, 260.332, 0.026
105, 0.012, 260.332, 0.021
110, 0.013, 260.332, 0.017
115, 0.014, 260.420, -0.048
120, 0.016, 260.332, 0.023
125, 0.017, 260.332, 0.018
130, 0.018, 260.244, 0.076
135, 0.020, 260.244, 0.061
140, 0.022, 260.244, 0.049
145, 0.023, 260.332, -0.022
150, 0.025, 260.332, -0.018
155, 0.027, 260.244, 0.047
160, 0.028, 260.420, -0.085
165, 0.030, 260.332, -0.007
170, 0.032, 260.332, -0.006
175, 0.034, 260.332, -0.005
180, 0.036, 260.332, -0.004
185, 0.038, 260.332, -0.003
190, 0.040, 260.332, -0.002
195, 0.043, 260.420, -0.063
200, 0.045, 260.332, 0.011
205, 0.047, 260.420, -0.053
210, 0.050, 260.332, 0.019
215, 0.052, 260.332, 0.015
220, 0.055, 260.332, 0.012
225, 0.057, 260.332, 0.010
230, 0.060, 260.332, 0.008
235, 0.063, 260.332, 0.006
240, 0.065, 260.420, -0.056
245, 0.068, 260.332, 0.016
250, 0.071, 260.332, 0.013
255, 0.074, 260.244, 0.072
260, 0.077, 260.332, -0.004
265, 0.080, 260.420, -0.064
270, 0.083, 260.332, 0.010
275, 0.086, 260.420, -0.054
280, 0.089, 260.244, 0.080
285, 0.093, 260.244, 0.064
290, 0.096, 260.332, -0.010
295, 0.099, 260.332, -0.008
300, 0.103, 260.332, -0.007
305, 0.106, 260.332, -0.005
310, 0.110, 260.244, 0.057
315, 0.113, 260.332, -0.016
320, 0.117, 260.420, -0.074
325, 0.121, 260.332, 0.002
330, 0.125, 260.332, 0.002
335, 0.129, 260.420, -0.060
340, 0.132, 260.332, 0.014
345, 0.136, 260.332, 0.011
350, 0.140, 260.332, 0.009
355, 0.144, 260.332, 0.007
360, 0.149, 260.332, 0.006
365, 0.153, 260.332, 0.004
370, 0.157, 260.332, 0.004
375, 0.161, 260.332, 0.003
380, 0.166, 260.244, 0.064
385, 0.170, 260.244, 0.051
390, 0.175, 260.332, -0.021
395, 0.179, 260.332, -0.017
400, 0.184, 260.332, -0.013
405, 0.189, 260.332, -0.011
410, 0.193, 260.332, -0.008
415, 0.198, 260.332, -0.007
420, 0.203, 260.332, -0.005
425, 0.208, 260.332, -0.004
430, 0.213, 260.332, -0.003
435, 0.218, 260.420, -0.064
440, 0.223, 260.420, -0.051
445, 0.228, 260.332, 0.020
450, 0.233, 260.332, 0.016
455, 0.238, 260.332, 0.013
460, 0.244, 260.244, 0.072
465, 0.249, 260.332, -0.004
470, 0.254, 260.244, 0.058
475, 0.260, 260.332, -0.015
480, 0.265, 260.332, -0.012
485, 0.271, 260.332, -0.009
490, 0.276, 260.332, -0.008
495, 0.282, 260.420, -0.067
500, 0.288, 260.332, 0.007
505, 0.294, 260.244, 0.067
510, 0.300, 260.420, -0.069
515, 0.305, 260.332, 0.006
520, 0.311, 260.332, 0.005
525, 0.317, 260.332, 0.004
530, 0.323, 260.332, 0.003
535, 0.330, 260.244, 0.064
540, 0.336, 260.332, -0.010
545, 0.342, 260.244, 0.053
550, 0.348, 260.332, -0.019
555, 0.355, 260.332, -0.015
560, 0.361, 260.332, -0.012
565, 0.368, 260.244, 0.052
570, 0.374, 260.332, -0.020
575, 0.381, 260.420, -0.077
580, 0.387, 260.332, -0.000
585, 0.394, 260.420, -0.062
590, 0.401, 260.420, -0.049
595, 0.408, 260.332, 0.022
600, 0.414, 260.244, 0.079
605, 0.421, 260.244, 0.063
610, 0.428, 260.244, 0.050
615, 0.435, 260.332, -0.021
620, 0.442, 260.244, 0.045
625, 0.450, 260.244, 0.036
630, 0.457, 260.420, -0.094
635, 0.464, 260.332, -0.014
640, 0.471, 260.244, 0.050
645, 0.479, 260.332, -0.021
650, 0.486, 260.332, -0.017
655, 0.493, 260.332, -0.014
660, 0.501, 260.508, -0.134
665, 0.509, 260.332, 0.016
670, 0.516, 260.332, 0.013
675, 0.524, 260.332, 0.010
680, 0.532, 260.420, -0.053
685, 0.539, 260.332, 0.019
690, 0.547, 260.332, 0.015
695, 0.555, 260.332, 0.012
700, 0.563, 260.332, 0.010
705, 0.571, 260.332, 0.008
710, 0.579, 260.244, 0.068
715, 0.587, 260.332, -0.007
720, 0.595, 260.332, -0.006
725, 0.604, 260.244, 0.057
730, 0.612, 260.332, -0.016
735, 0.620, 260.332, -0.013
740, 0.629, 260.244, 0.051
745, 0.637, 260.332, -0.020
750, 0.645, 260.332, -0.016
755, 0.654, 260.332, -0.013
760, 0.663, 260.420, -0.072
765, 0.671, 260.332, 0.004
770, 0.680, 260.244, 0.064
775, 0.689, 260.420, -0.071
780, 0.697, 260.332, 0.004
785, 0.706, 260.332, 0.004
790, 0.715, 260.332, 0.003
795, 0.724, 260.420, -0.059
800, 0.733, 260.332, 0.014
805, 0.742, 260.420, -0.050
810, 0.751, 260.332, 0.021
815, 0.760, 260.332, 0.017
820, 0.770, 260.508, -0.109
825, 0.779, 260.420, -0.026
830, 0.788, 260.508, -0.082
835, 0.798, 260.508, -0.066
840, 0.807, 260.596, -0.114
845, 0.816, 260.596, -0.091
850, 0.826, 260.684, -0.134
855, 0.836, 260.771, -0.169
860, 0.845, 260.684, -0.074
865, 0.855, 260.684, -0.059
870, 0.865, 260.684, -0.047
875, 0.874, 260.596, 0.024
880, 0.884, 260.684, -0.042
885, 0.894, 260.771, -0.095
890, 0.904, 260.596, 0.046
895, 0.914, 260.684, -0.024
900, 0.924, 260.684, -0.019
905, 0.934, 260.684, -0.016
910, 0.944, 260.771, -0.074
915, 0.954, 260.596, 0.064
920, 0.965, 260.684, -0.010
925, 0.975, 260.596, 0.053
930, 0.985, 260.596, 0.042
935, 0.996, 260.684, -0.027
940, 1.006, 260.684, -0.022
945, 1.016, 260.684, -0.018
950, 1.027, 260.684, -0.014
955, 1.038, 260.684, -0.011
960, 1.048, 260.684, -0.009
965, 1.059, 260.684, -0.007
970, 1.070, 260.771, -0.067
975, 1.080, 260.684, 0.008
980, 1.091, 260.771, -0.055
985, 1.102, 260.684, 0.017
990, 1.113, 260.684, 0.014
995, 1.124, 260.684, 0.011
1000, 1.135, 260.596, 0.070
1005, 1.146, 260.684, -0.005
1010, 1.157, 260.684, -0.004
1015, 1.168, 260.771, -0.065
1020, 1.179, 260.771, -0.052
1025, 1.191, 260.684, 0.020
1030, 1.202, 260.771, -0.045
1035, 1.213, 260.771, -0.036
1040, 1.225, 260.596, 0.094
1045, 1.236, 260.684, 0.014
1050, 1.248, 260.684, 0.011
1055, 1.259, 260.684, 0.009
1060, 1.271, 260.771, -0.054
1065, 1.282, 260.684, 0.018
1070, 1.294, 260.771, -0.047
1075, 1.306, 260.684, 0.024
1080, 1.317, 260.684, 0.019
1085, 1.329, 260.771, -0.046
1090, 1.341, 260.684, 0.025
1095, 1.353, 260.684, 0.020
1100, 1.365, 260.684, 0.016
1105, 1.377, 260.771, -0.049
1110, 1.389, 260.684, 0.022
1115, 1.401, 260.684, 0.018
1120, 1.413, 260.684, 0.014
1125, 1.425, 260.684, 0.011
1130, 1.438, 260.684, 0.009
1135, 1.450, 260.684, 0.007
1140, 1.462, 260.684, 0.006
1145, 1.474, 260.596, 0.066
1150, 1.487, 260.684, -0.009
1155, 1.499, 260.684, -0.007
1160, 1.512, 260.771, -0.067
1165, 1.524, 260.684, 0.008
1170, 1.537, 260.684, 0.006
1175, 1.550, 260.684, 0.005
1180, 1.562, 260.684, 0.004
1185, 1.575, 260.684, 0.003
1190, 1.588, 260.684, 0.003
1195, 1.600, 260.684, 0.002
1200, 1.613, 260.596, 0.063
1205, 1.626, 260.684, -0.011
1210, 1.639, 260.684, -0.009
1215, 1.652, 260.771, -0.068
1220, 1.665, 260.684, 0.007
1225, 1.678, 260.596, 0.067
1230, 1.691, 260.684, -0.008
1235, 1.704, 260.684, -0.006
1240, 1.718, 260.684, -0.005
1245, 1.731, 260.684, -0.004
1250, 1.744, 260.596, 0.058
1255, 1.757, 260.684, -0.015
1260, 1.771, 260.684, -0.012
1265, 1.784, 260.684, -0.010
1270, 1.798, 260.771, -0.069
1275, 1.811, 260.684, 0.006
1280, 1.825, 260.684, 0.005
1285, 1.838, 260.684, 0.004
1290, 1.852, 260.771, -0.058
1295, 1.865, 260.771, -0.047
1300, 1.879, 260.684, 0.024
1305, 1.893, 260.771, -0.042
1310, 1.906, 260.859, -0.095
1315, 1.920, 260.859, -0.076
1320, 1.934, 261.035, -0.184
1325, 1.948, 261.211, -0.270
1330, 1.962, 261.387, -0.339
1335, 1.976, 261.562, -0.394
1340, 1.990, 261.738, -0.437
1345, 2.004, 262.178, -0.657
1350, 2.018, 262.529, -0.771
1355, 2.032, 262.705, -0.740
1360, 2.046, 263.057, -0.837
1365, 2.060, 263.408, -0.916
1370, 2.075, 263.848, -1.039
1375, 2.089, 264.375, -1.200
1380, 2.103, 264.727, -1.205
1385, 2.118, 265.166, -1.271
1390, 2.132, 265.693, -1.385
1395, 2.146, 266.309, -1.538
1400, 2.161, 266.748, -1.537
1405, 2.175, 267.275, -1.598
1410, 2.190, 267.979, -1.770
1415, 2.205, 268.594, -1.846
1420, 2.219, 269.297, -1.967
1425, 2.234, 269.912, -2.004
1430, 2.249, 270.615, -2.094
1435, 2.263, 271.318, -2.166
1440, 2.278, 272.109, -2.286
1445, 2.293, 272.812, -2.320
1450, 2.308, 273.604, -2.408
1455, 2.323, 274.482, -2.541
1460, 2.337, 275.273, -2.585
1465, 2.352, 276.240, -2.743
1470, 2.367, 277.119, -2.809
1475, 2.382, 277.998, -2.860
1480, 2.397, 278.877, -2.902
1485, 2.413, 279.932, -3.058
1490, 2.428, 280.723, -3.000
1495, 2.443, 281.953, -3.259
1500, 2.458, 282.832, -3.221
1505, 2.473, 283.975, -3.375
1510, 2.489, 284.941, -3.375
1515, 2.504, 286.084, -3.498
1520, 2.519, 287.139, -3.536
1525, 2.535, 288.369, -3.688
1530, 2.550, 289.424, -3.687
1535, 2.565, 290.654, -3.809
1540, 2.581, 291.797, -3.845
1545, 2.596, 293.027, -3.934
1550, 2.612, 294.258, -4.007
1555, 2.627, 295.488, -4.066
1560, 2.643, 296.895, -4.234
1565, 2.659, 298.125, -4.247
1570, 2.674, 299.443, -4.319
1575, 2.690, 300.674, -4.315
1580, 2.706, 302.080, -4.434
1585, 2.722, 303.662, -4.650
1590, 2.737, 304.980, -4.643
1595, 2.753, 306.299, -4.633
1600, 2.769, 307.881, -4.812
1605, 2.785, 309.287, -4.832
1610, 2.801, 310.869, -4.972
1615, 2.817, 312.275, -4.960
1620, 2.833, 313.770, -5.012
1625, 2.849, 315.439, -5.175
1630, 2.865, 316.846, -5.123
1635, 2.881, 318.516, -5.265
1640, 2.897, 320.010, -5.255
1645, 2.913, 321.768, -5.432
1650, 2.930, 323.174, -5.328
1655, 2.946, 325.020, -5.552
1660, 2.962, 326.602, -5.546
1665, 2.978, 328.271, -5.604
1670, 2.995, 329.941, -5.649
1675, 3.011, 331.611, -5.686
1680, 3.027, 333.369, -5.776
1685, 3.044, 335.039, -5.787
1690, 3.060, 336.885, -5.919
1695, 3.076, 338.818, -6.087
1700, 3.093, 340.400, -5.974
1705, 3.109, 342.158, -6.006
1710, 3.126, 344.004, -6.095
1715, 3.143, 345.850, -6.165
1720, 3.159, 347.695, -6.221
1725, 3.176, 349.629, -6.328
1730, 3.192, 351.475, -6.351
1735, 3.209, 353.320, -6.370
1740, 3.226, 355.254, -6.446
1745, 3.243, 357.188, -6.506
1750, 3.259, 359.033, -6.493
1755, 3.276, 0.967, -6.546
1760, 3.293, 2.988, -6.650
1765, 3.310, 5.010, -6.730
1770, 3.327, 6.943, -6.734
1775, 3.343, 8.877, -6.740
1780, 3.360, 11.074, -6.928
1785, 3.377, 13.271, -7.075
1790, 3.394, 15.117, -6.950
1795, 3.411, 17.139, -6.968
1800, 3.428, 19.248, -7.052
1805, 3.445, 21.445, -7.176
1810, 3.462, 23.467, -7.154
1815, 3.479, 25.752, -7.318
1820, 3.497, 27.773, -7.266
1825, 3.514, 29.883, -7.286
1830, 3.531, 32.256, -7.487
1835, 3.548, 34.365, -7.464
1840, 3.565, 36.650, -7.567
1845, 3.583, 38.936, -7.650
1850, 3.600, 41.045, -7.594
1855, 3.617, 43.418, -7.732
1860, 3.634, 45.791, -7.840
1865, 3.652, 47.988, -7.809
1870, 3.669, 50.361, -7.905
1875, 3.686, 52.646, -7.921
1880, 3.704, 55.283, -8.177
1885, 3.721, 57.568, -8.139
1890, 3.739, 60.029, -8.229
1895, 3.756, 62.402, -8.241
1900, 3.774, 64.951, -8.374
1905, 3.791, 67.500, -8.479
1910, 3.809, 69.873, -8.441
1915, 3.826, 72.510, -8.592
1920, 3.844, 75.146, -8.718
1925, 3.862, 77.783, -8.813
1930, 3.879, 80.332, -8.832
1935, 3.897, 82.969, -8.906
1940, 3.914, 85.605, -8.969
1945, 3.932, 88.506, -9.199
1950, 3.950, 91.230, -9.263
1955, 3.968, 93.955, -9.316
1960, 3.985, 96.680, -9.356
1965, 4.003, 99.580, -9.509
1970, 4.021, 102.393, -9.574
1975, 4.039, 105.293, -9.679
1980, 4.056, 108.105, -9.715
1985, 4.074, 111.094, -9.858
1990, 4.092, 113.994, -9.912
1995, 4.110, 116.982, -10.017
2000, 4.128, 119.883, -10.038
2005, 4.146, 122.871, -10.119
2010, 4.164, 125.947, -10.243
2015, 4.182, 128.936, -10.283
2020, 4.200, 131.924, -10.313
2025, 4.218, 134.912, -10.336
2030, 4.236, 138.076, -10.480
2035, 4.254, 140.889, -10.349
2040, 4.272, 144.229, -10.610
2045, 4.290, 147.129, -10.515
2050, 4.308, 150.205, -10.561
2055, 4.326, 153.369, -10.659
2060, 4.344, 156.533, -10.735
2065, 4.362, 159.434, -10.617
2070, 4.380, 162.686, -10.762
2075, 4.399, 165.850, -10.821
2080, 4.417, 168.838, -10.746
2085, 4.435, 172.090, -10.867
2090, 4.453, 175.166, -10.841
2095, 4.471, 178.418, -10.944
2100, 4.490, 181.582, -10.964
2105, 4.508, 184.570, -10.861
2110, 4.526, 187.822, -10.958
2115, 4.544, 191.162, -11.099
2120, 4.563, 194.238, -11.028
2125, 4.581, 197.578, -11.157
2130, 4.599, 200.830, -11.197
2135, 4.618, 203.994, -11.170
2140, 4.636, 207.422, -11.328
2145, 4.654, 210.674, -11.328
2150, 4.673, 213.926, -11.334
2155, 4.691, 217.354, -11.463
2160, 4.710, 220.781, -11.569
2165, 4.728, 224.121, -11.589
2170, 4.746, 227.637, -11.725
2175, 4.765, 231.152, -11.836
2180, 4.783, 234.580, -11.864
2185, 4.802, 238.096, -11.946
2190, 4.820, 241.787, -12.137
2195, 4.839, 245.479, -12.286
2200, 4.857, 248.994, -12.286
2205, 4.876, 252.861, -12.530
2210, 4.894, 256.553, -12.604
2215, 4.913, 260.332, -12.721
2220, 4.931, 264.199, -12.880
2225, 4.950, 268.154, -13.063
2230, 4.968, 271.934, -13.091
2235, 4.987, 275.801, -13.175
2240, 5.006, 279.756, -13.302
2245, 5.024, 283.799, -13.466
2250, 5.043, 287.754, -13.537
2255, 5.061, 291.885, -13.716
2260, 5.080, 295.752, -13.671
2265, 5.099, 300.059, -13.947
2270, 5.117, 304.014, -13.920
2275, 5.136, 308.057, -13.958
2280, 5.155, 312.275, -14.108
2285, 5.173, 316.406, -14.177
2290, 5.192, 320.537, -14.229
2295, 5.211, 324.668, -14.270
2300, 5.229, 328.887, -14.357
2305, 5.248, 332.754, -14.187
2310, 5.267, 337.148, -14.422
2315, 5.285, 341.191, -14.361
2320, 5.304, 345.234, -14.313
2325, 5.323, 349.453, -14.399
2330, 5.342, 353.584, -14.405
2335, 5.360, 357.539, -14.287
2340, 5.379, 1.758, -14.367
2345, 5.398, 5.713, -14.265
2350, 5.417, 9.756, -14.236
2355, 5.435, 13.799, -14.216
2360, 5.454, 17.930, -14.250
2365, 5.473, 22.061, -14.288
2370, 5.492, 26.104, -14.257
2375, 5.510, 30.322, -14.352
2380, 5.529, 34.277, -14.243
2385, 5.548, 38.408, -14.283
2390, 5.567, 42.627, -14.369
2395, 5.586, 46.846, -14.446
2400, 5.604, 51.064, -14.501
2405, 5.623, 55.459, -14.669
2410, 5.642, 59.678, -14.683
2415, 5.661, 64.072, -14.815
2420, 5.680, 68.379, -14.863
2425, 5.699, 72.949, -15.079
2430, 5.717, 77.520, -15.258
2435, 5.736, 82.002, -15.340
2440, 5.755, 86.748, -15.588
2445, 5.774, 91.318, -15.661
