time,angle,vel,acc
5253,361.00, -0.00, -0.00
10381,233.88, -40.00, -8000.84
15374,234.14, -36.29, 743.10
20373,234.76, -32.79, 698.80
25374,235.46, -29.59, 640.85
30384,235.99, -26.73, 572.00
35387,236.95, -23.99, 547.55
40379,237.74, -21.56, 485.72
45389,238.80, -19.27, 459.59
50389,239.77, -17.21, 411.58
55390,241.00, -15.25, 391.06
60406,242.23, -13.47, 356.06
65399,243.54, -11.83, 328.30
70410,244.95, -10.31, 305.05
75416,246.45, -8.90, 281.98
80410,248.20, -7.53, 273.31
85410,249.70, -6.37, 231.90
90413,251.54, -5.20, 233.13
95411,253.39, -4.15, 211.83
100417,255.23, -3.18, 192.71
105424,257.26, -2.25, 186.39
110427,259.28, -1.40, 169.33
115429,261.39, -0.61, 159.60
120426,263.58, 0.15, 150.63
125439,265.52, 0.75, 120.22
130436,267.89, 1.44, 137.18
135437,270.26, 2.06, 124.62
140438,272.55, 2.60, 107.85
145445,275.10, 3.17, 114.72
150447,277.38, 3.61, 87.58
155453,279.76, 4.03, 85.17
160453,282.22, 4.45, 83.10
165459,284.85, 4.88, 86.53
170459,287.14, 5.17, 56.46
175461,289.78, 5.53, 73.71
180469,292.32, 5.84, 61.30
185471,294.96, 6.15, 61.39
190476,297.51, 6.40, 50.18
195477,300.15, 6.65, 51.24
200478,302.61, 6.83, 35.49
205483,305.24, 7.05, 43.29
210485,308.06, 7.30, 50.59
215488,310.69, 7.48, 34.86
220485,313.24, 7.61, 26.15
225496,315.97, 7.78, 34.68
230505,318.78, 7.96, 37.03
235498,321.33, 8.05, 17.32
240505,324.14, 8.21, 32.26
245506,326.78, 8.30, 18.38
250507,329.59, 8.44, 27.69
255523,332.40, 8.57, 24.80
260520,335.30, 8.71, 28.83
265517,338.29, 8.87, 31.66
270522,341.19, 8.98, 23.07
275529,344.27, 9.14, 31.77
280529,347.52, 9.35, 40.59
285529,350.68, 9.50, 31.12
290531,354.11, 9.73, 45.08
295539,357.45, 9.90, 35.18
300542,1.05, 10.15, 49.04
305544,4.75, 10.40, 50.47
310550,8.44, 10.63, 45.77
315543,12.30, 10.89, 52.42
320548,16.52, 11.24, 69.78
325547,20.65, 11.53, 58.29
330555,25.05, 11.88, 69.29
335558,29.44, 12.20, 63.28
340559,34.10, 12.57, 74.40
345565,38.85, 12.93, 72.96
350567,43.86, 13.35, 83.26
355568,48.96, 13.75, 81.33
360575,54.14, 14.15, 79.16
365571,59.33, 14.51, 72.48
370576,64.60, 14.87, 71.10
375584,70.05, 15.25, 75.92
380584,75.23, 15.51, 52.09
385586,80.68, 15.83, 64.34
390592,85.96, 16.07, 47.21
395593,91.05, 16.23, 31.86
400600,96.24, 16.40, 34.38
405602,101.07, 16.44, 9.15
410606,106.17, 16.57, 24.95
415607,110.92, 16.57, 0.28
420612,115.49, 16.51, -10.98
425621,120.32, 16.55, 6.72
430614,124.80, 16.47, -15.64
435617,129.29, 16.40, -14.63
440622,133.68, 16.30, -19.12
445631,138.25, 16.27, -5.98
450636,142.65, 16.19, -16.72
455630,147.22, 16.17, -3.62
460643,151.70, 16.12, -9.64
465647,156.36, 16.14, 2.94
470662,161.28, 16.23, 18.59
475654,166.03, 16.26, 7.16
480661,171.21, 16.43, 33.60
485661,176.40, 16.59, 30.65
490657,182.37, 16.98, 78.77
495671,187.82, 17.16, 36.72
500672,194.24, 17.64, 95.77
505665,200.48, 18.03, 76.50
510675,207.51, 18.62, 118.61
515682,214.45, 19.13, 102.43
520680,221.66, 19.68, 110.71
525675,229.22, 20.30, 122.59
530692,236.95, 20.90, 121.49
535684,244.69, 21.47, 112.27
540685,252.51, 22.00, 106.91
545704,260.16, 22.42, 84.75
550708,267.89, 22.85, 84.90
555696,274.75, 22.96, 21.37
560703,281.95, 23.16, 40.51
565697,288.46, 23.12, -7.18
570707,294.87, 23.06, -13.05
575711,301.03, 22.92, -28.28
580708,307.09, 22.76, -30.96
585711,312.89, 22.54, -44.82
590716,318.69, 22.33, -41.49
595718,324.14, 22.03, -59.55
600721,329.77, 21.81, -43.22
605722,335.30, 21.59, -44.79
610724,341.10, 21.47, -23.88
615727,346.99, 21.39, -16.52
620730,352.88, 21.32, -14.71
625743,359.38, 21.44, 25.03
630737,5.89, 21.56, 24.16
635741,12.92, 21.84, 54.76
640744,20.48, 22.25, 83.12
645752,27.95, 22.60, 69.74
650751,36.21, 23.17, 114.50
655757,44.38, 23.66, 97.95
660762,53.00, 24.25, 116.95
665762,61.61, 24.78, 106.63
670769,70.22, 25.26, 96.70
675766,78.84, 25.70, 88.35
680770,87.01, 25.97, 52.05
685776,95.19, 26.20, 47.11
690779,102.92, 26.28, 15.09
695775,110.39, 26.26, -2.75
700781,117.69, 26.19, -14.34
705785,124.45, 25.96, -46.17
710793,131.13, 25.72, -47.92
715793,137.99, 25.56, -31.93
720795,144.58, 25.33, -45.98
725803,151.08, 25.09, -47.65
730802,157.94, 24.99, -19.98
735800,164.79, 24.90, -18.43
740805,172.09, 24.95, 10.72
745805,179.65, 25.09, 26.77
750814,187.91, 25.43, 68.49
755814,196.44, 25.83, 79.36
760813,205.58, 26.39, 111.86
765816,215.42, 27.11, 145.60
770827,225.79, 27.94, 165.58
775819,236.43, 28.78, 168.27
780835,246.80, 29.46, 134.41
785838,257.34, 30.13, 134.78
790848,267.19, 30.52, 79.02
795844,276.94, 30.86, 66.49
800836,285.91, 30.90, 8.84
805843,294.61, 30.85, -9.39
810845,302.61, 30.59, -52.55
815849,310.52, 30.32, -53.71
820851,318.08, 29.97, -71.04
825850,325.37, 29.56, -80.93
830860,332.75, 29.22, -68.82
835857,340.05, 28.88, -67.19
840858,347.61, 28.66, -44.65
845867,355.52, 28.56, -18.98
850874,3.78, 28.59, 5.93
855870,12.39, 28.73, 28.05
860869,21.80, 29.11, 75.23
865878,31.73, 29.62, 101.40
870880,41.92, 30.17, 109.44
875884,52.73, 30.86, 138.48
880882,63.63, 31.52, 131.96
885886,74.53, 32.12, 119.62
890890,84.73, 32.43, 63.56
895893,95.10, 32.78, 69.06
900899,104.85, 32.90, 23.83
905900,113.91, 32.78, -22.78
910897,122.52, 32.54, -48.40
915905,130.69, 32.18, -72.41
920904,139.04, 31.91, -54.41
925910,146.95, 31.52, -78.07
930912,155.21, 31.28, -47.96
935911,163.65, 31.12, -32.19
940918,172.44, 31.08, -7.73
945919,182.02, 31.30, 43.69
950926,192.04, 31.63, 66.83
955925,202.94, 32.22, 118.03
960932,214.54, 32.98, 151.04
965942,227.37, 34.05, 214.84
970938,239.50, 34.81, 152.32
975939,252.42, 35.75, 188.01
980938,264.38, 36.30, 109.60
985958,275.98, 36.68, 75.49
990950,286.96, 36.84, 32.59
995956,296.81, 36.62, -45.00
1000957,306.12, 36.25, -72.96
1005959,315.09, 35.80, -89.60
1010959,323.70, 35.28, -103.50
1015959,331.96, 34.71, -115.96
1020971,340.66, 34.31, -79.02
1025963,349.19, 33.91, -80.97
1030981,358.42, 33.75, -30.35
1035987,8.17, 33.79, 7.82
1040972,18.19, 33.91, 22.50
1045978,29.27, 34.34, 86.73
1050979,40.61, 34.82, 96.50
1055983,52.91, 35.57, 148.95
1060992,65.04, 36.18, 123.68
1065985,77.08, 36.73, 108.17
1070990,88.24, 36.93, 41.01
1075991,99.40, 37.12, 37.95
1080989,109.69, 37.02, -20.81
1085999,119.18, 36.66, -70.30
1090998,128.50, 36.29, -74.40
1096002,137.55, 35.87, -84.89
1101000,146.25, 35.37, -98.88
1106006,154.78, 34.87, -101.44
1111011,163.74, 34.54, -64.53
1116013,173.14, 34.39, -30.37
1121013,183.08, 34.42, 6.16
1126024,193.97, 34.75, 66.05
1131019,205.31, 35.20, 88.66
1136024,217.88, 35.99, 158.31
1141026,230.71, 36.79, 161.23
1146032,244.78, 37.91, 224.09
1151032,257.26, 38.44, 104.27
1156033,269.47, 38.82, 77.60
1161040,280.63, 38.84, 3.25
1166047,291.27, 38.68, -30.99
1171048,301.64, 38.47, -43.80
1176049,310.61, 37.82, -129.48
1181054,319.92, 37.34, -95.77
1186060,328.27, 36.60, -148.67
1191070,337.24, 36.11, -96.56
