time, angle1, vel1, acc1
5356,138.96, 0.01, -7577.84
10370,138.96, 0.01, -0.25
15376,138.96, 0.01, -0.23
20372,139.22, 0.09, 16.55
25376,139.75, 0.25, 31.81
30380,140.19, 0.37, 23.33
35383,140.80, 0.53, 32.38
40388,141.33, 0.65, 23.84
45389,142.03, 0.82, 32.87
50392,142.65, 0.94, 24.29
55392,143.53, 1.13, 38.84
60395,144.49, 1.34, 40.87
65395,145.37, 1.49, 31.58
70404,146.43, 1.69, 39.86
75401,147.57, 1.90, 41.85
80401,148.62, 2.06, 32.47
85404,150.03, 2.32, 51.85
90411,151.35, 2.53, 41.52
95416,152.84, 2.78, 48.94
100413,154.25, 2.97, 38.95
105416,155.83, 3.20, 46.56
110414,157.50, 3.44, 47.90
115421,159.26, 3.69, 49.07
120426,161.19, 3.97, 55.80
125433,163.12, 4.22, 50.72
130437,165.23, 4.51, 57.26
135433,167.34, 4.77, 52.23
140437,169.63, 5.06, 58.38
145437,172.00, 5.35, 58.83
150452,174.29, 5.59, 47.70
155445,176.84, 5.89, 60.43
160446,179.47, 6.20, 60.44
165460,182.11, 6.47, 54.71
170456,185.10, 6.83, 72.39
175457,187.91, 7.10, 54.51
180473,190.99, 7.43, 65.97
185466,194.06, 7.74, 60.59
190471,197.23, 8.04, 60.41
195475,200.39, 8.31, 54.72
200478,203.55, 8.56, 49.95
205476,206.81, 8.82, 51.07
210485,210.23, 9.11, 57.35
215490,213.57, 9.34, 46.50
220486,216.91, 9.55, 42.76
225500,220.61, 9.85, 60.48
230497,223.95, 10.02, 33.32
235505,227.55, 10.26, 47.00
240512,230.98, 10.41, 31.72
245499,234.32, 10.53, 22.91
250508,237.74, 10.66, 26.15
255514,241.26, 10.81, 29.68
260516,244.60, 10.89, 15.81
265509,247.85, 10.93, 8.97
270520,251.19, 11.00, 13.35
275521,254.44, 11.03, 6.67
280527,257.87, 11.12, 17.20
285530,261.12, 11.14, 4.50
290534,264.38, 11.16, 4.13
295547,267.63, 11.18, 3.55
300534,270.88, 11.20, 3.80
305542,274.13, 11.21, 2.88
310539,277.21, 11.17, -8.23
315542,280.63, 11.24, 14.70
320550,283.71, 11.20, -9.10
325550,287.14, 11.27, 14.31
330554,290.57, 11.33, 12.81
335558,293.91, 11.37, 6.10
340563,297.60, 11.51, 28.01
345561,300.94, 11.52, 3.25
350565,304.72, 11.67, 30.58
355567,308.58, 11.84, 33.47
360575,312.63, 12.05, 41.49
365578,316.58, 12.21, 32.20
370584,320.98, 12.50, 57.22
375584,325.63, 12.84, 68.96
380585,330.12, 13.10, 51.36
385589,335.13, 13.50, 80.16
390594,340.31, 13.92, 84.16
395592,345.76, 14.39, 93.51
400594,351.56, 14.92, 107.20
405607,357.63, 15.49, 113.41
410621,3.87, 16.06, 114.49
415611,10.28, 16.64, 116.30
420615,16.70, 17.17, 105.02
425627,23.20, 17.67, 100.68
430623,29.97, 18.22, 108.96
435629,36.39, 18.60, 76.32
440639,42.80, 18.94, 69.00
445632,49.04, 19.21, 52.80
450640,55.11, 19.39, 35.85
455642,61.26, 19.58, 38.44
460648,66.62, 19.50, -15.81
465653,72.25, 19.51, 2.81
470651,77.52, 19.42, -19.51
475657,82.79, 19.33, -17.94
480660,87.71, 19.13, -38.66
485668,92.81, 19.01, -24.32
490665,97.47, 18.77, -49.15
495678,102.13, 18.54, -46.09
500683,106.96, 18.39, -28.86
