time,angle,velAve, vel2, vel3, vel4, vel5,,ˆÚ“®•½‹Ï
5253,361,-0.0375,-0.19,0.01,0.01,0.02,,1.605322581
10381,233.88,-0.025,-0.17,0.01,0.01,0.05,,1.75233871
15374,234.14,-0.025,-0.19,0.01,0.01,0.07,,1.90516129
20373,234.76,0.0175,-0.11,0.03,0.09,0.06,,2.065
25374,235.46,0.06,-0.1,0.03,0.25,0.06,,2.229516129
30384,235.99,0.095,-0.15,0,0.37,0.16,,2.399758065
35387,236.95,0.2,-0.11,0.06,0.53,0.32,,2.574596774
40379,237.74,0.275,-0.01,0,0.65,0.46,,2.75266129
45389,238.8,0.3675,-0.01,0.05,0.82,0.61,,2.933790323
50389,239.77,0.4525,0.13,-0.01,0.94,0.75,,3.118548387
55390,241,0.555,0.2,-0.01,1.13,0.9,,3.305
60406,242.23,0.69,0.32,0.08,1.34,1.02,,3.49483871
65399,243.54,0.82,0.43,0.07,1.49,1.29,,3.68516129
70410,244.95,0.9775,0.59,0.15,1.69,1.48,,3.877096774
75416,246.45,1.125,0.67,0.25,1.9,1.68,,4.070241935
80410,248.2,1.285,0.86,0.33,2.06,1.89,,4.263387097
85410,249.7,1.4625,0.98,0.44,2.32,2.11,,4.456935484
90413,251.54,1.66,1.17,0.6,2.53,2.34,,4.65016129
95411,253.39,1.8425,1.34,0.68,2.78,2.57,,4.842177419
100417,255.23,2.0525,1.53,0.87,2.97,2.84,,5.033709677
105424,257.26,2.23,1.73,0.99,3.2,3,,5.224112903
110427,259.28,2.4175,1.82,1.15,3.44,3.26,,5.413548387
115429,261.39,2.6375,2.02,1.35,3.69,3.49,,5.602177419
120426,263.58,2.8475,2.2,1.51,3.97,3.71,,5.788790323
125439,265.52,3.04,2.36,1.68,4.22,3.9,,5.974274194
130436,267.89,3.2675,2.54,1.89,4.51,4.13,,6.159274194
135437,270.26,3.48,2.75,2.03,4.77,4.37,,6.343306452
140438,272.55,3.685,2.89,2.23,5.06,4.56,,6.527177419
145445,275.1,3.9225,3.13,2.45,5.35,4.76,,6.710967742
150447,277.38,4.0975,3.3,2.64,5.59,4.86,,6.894596774
155453,279.76,4.29,3.44,2.74,5.89,5.09,,7.080725806
160453,282.22,4.52,3.6,2.99,6.2,5.29,,7.268225806
165459,284.85,4.7125,3.81,3.11,6.47,5.46,,7.456048387
170459,287.14,4.93,3.99,3.3,6.83,5.6,,7.646129032
175461,289.78,5.1175,4.13,3.48,7.1,5.76,,7.839112903
180469,292.32,5.3375,4.32,3.72,7.43,5.88,,8.035483871
185471,294.96,5.515,4.45,3.83,7.74,6.04,,8.234758065
190476,297.51,5.72,4.66,4.01,8.04,6.17,,8.438225806
195477,300.15,5.89,4.8,4.18,8.31,6.27,,8.644516129
200478,302.61,6.095,4.98,4.38,8.56,6.46,,8.856290323
205483,305.24,6.2325,5.14,4.46,8.82,6.51,,9.072096774
210485,308.06,6.44,5.31,4.67,9.11,6.67,,9.294193548
215488,310.69,6.59,5.5,4.78,9.34,6.74,,9.5175
220485,313.24,6.77,5.7,4.98,9.55,6.85,,9.747177419
225496,315.97,6.965,5.91,5.15,9.85,6.95,,9.979354839
230505,318.78,7.1125,6.04,5.29,10.02,7.1,,10.2141129
235498,321.33,7.285,6.27,5.4,10.26,7.21,,10.45233871
240505,324.14,7.4525,6.43,5.6,10.41,7.37,,10.69258065
245506,326.78,7.6125,6.68,5.79,10.53,7.45,,10.93524194
250507,329.59,7.78,6.91,5.94,10.66,7.61,,11.17927419
255523,332.4,7.955,7.18,6.1,10.81,7.73,,11.42483871
260520,335.3,8.1025,7.39,6.27,10.89,7.86,,11.66959677
265517,338.29,8.265,7.7,6.42,10.93,8.01,,11.91516129
270522,341.19,8.4225,7.95,6.59,11,8.15,,12.15830645
275529,344.27,8.5975,8.23,6.8,11.03,8.33,,12.4
280529,347.52,8.775,8.54,6.97,11.12,8.47,,12.63943548
285529,350.68,8.9725,8.88,7.17,11.14,8.7,,12.87435484
290531,354.11,9.18,9.28,7.36,11.16,8.92,,13.10467742
295539,357.45,9.3825,9.6,7.61,11.18,9.14,,13.32879032
300542,1.05,9.615,10.02,7.87,11.2,9.37,,13.54685484
305544,4.75,9.8675,10.47,8.1,11.21,9.69,,13.75733871
310550,8.44,10.1025,10.89,8.37,11.17,9.98,,13.95782258
315543,12.3,10.3425,11.3,8.61,11.24,10.22,,14.15080645
320548,16.52,10.605,11.75,8.89,11.2,10.58,,14.33604839
325547,20.65,10.9125,12.22,9.23,11.27,10.93,,14.51314516
330555,25.05,11.205,12.7,9.54,11.33,11.25,,14.68016129
335558,29.44,11.515,13.14,9.87,11.37,11.68,,14.84096774
340559,34.1,11.8225,13.57,10.2,11.51,12.01,,14.99387097
345565,38.85,12.115,13.95,10.56,11.52,12.43,,15.14008065
350567,43.86,12.455,14.36,10.96,11.67,12.83,,15.28193548
355568,48.96,12.785,14.7,11.37,11.84,13.23,,15.41991935
360575,54.14,13.1175,15.01,11.73,12.05,13.68,,15.55693548
365571,59.33,13.3625,15.18,12.09,12.21,13.97,,15.69185484
370576,64.6,13.71,15.42,12.52,12.5,14.4,,15.83096774
